Logging to ./data/CartPole-v0_ppo/ppo_3567743922/
---------------------------------
| rollout/           |          |
| time/                   |              |
|    fps                  | 168          |
|    iterations           | 122          |
|    time_elapsed         | 23           |
|    total_timesteps      | 3904         |
| train/                  |              |
|    approx_kl            | 0.0003762655 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.487       |
|    explained_variance   | 0.0217       |
|    learning_rate        | 0.0003       |
|    loss                 | 53.3         |
|    n_updates            | 2420         |
|    policy_gradient_loss | -0.00138     |
|    value_loss           | 109          |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 53.1          |
|    ep_rew_mean          | 53.1          |
| time/                   |               |
|    fps                  | 167           |
|    iterations           | 123           |
|    time_elapsed         | 23            |
|    total_timesteps      | 3936          |
| train/                  |               |
|    approx_kl            | 2.2387132e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -0.479        |
|    explained_variance   | 0.367         |
|    learning_rate        | 0.0003        |
|    loss                 | 0.379         |
|    n_updates            | 2440          |
|    policy_gradient_loss | 2.38e-05      |
|    value_loss           | 0.909         |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 53.1         |
|    ep_rew_mean          | 53.1         |
| time/                   |              |
|    fps                  | 167          |
|    iterations           | 124          |
|    time_elapsed         | 23           |
|    total_timesteps      | 3968         |
| train/                  |              |
|    approx_kl            | 0.0005401615 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.505       |
|    explained_variance   | 0.0804       |
|    learning_rate        | 0.0003       |
|    loss                 | 47.6         |
|    n_updates            | 2460         |
|    policy_gradient_loss | -0.00242     |
|    value_loss           | 101          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 53          |
|    ep_rew_mean          | 53          |
| time/                   |             |
|    fps                  | 166         |
|    iterations           | 125         |
|    time_elapsed         | 23          |
|    total_timesteps      | 4000        |
| train/                  |             |
|    approx_kl            | 0.007033685 |
|    clip_fraction        | 0.0297      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.456      |
|    explained_variance   | 0.77        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.283       |
|    n_updates            | 2480        |
|    policy_gradient_loss | -0.00655    |
|    value_loss           | 0.755       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 53           |
|    ep_rew_mean          | 53           |
| time/                   |              |
|    fps                  | 166          |
|    iterations           | 126          |
|    time_elapsed         | 24           |
|    total_timesteps      | 4032         |
| train/                  |              |
|    approx_kl            | 0.0003268933 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.489       |
|    explained_variance   | 0.111        |
|    learning_rate        | 0.0003       |
|    loss                 | 45           |
|    n_updates            | 2500         |
|    policy_gradient_loss | -5.24e-05    |
|    value_loss           | 95.4         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 53           |
|    ep_rew_mean          | 53           |
| time/                   |              |
|    fps                  | 166          |
|    iterations           | 127          |
|    time_elapsed         | 24           |
|    total_timesteps      | 4064         |
| train/                  |              |
|    approx_kl            | 0.0011631101 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.512       |
|    explained_variance   | 0.226        |
|    learning_rate        | 0.0003       |
|    loss                 | 28.5         |
|    n_updates            | 2520         |
|    policy_gradient_loss | -0.00368     |
|    value_loss           | 74.8         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.8        |
|    ep_rew_mean          | 52.8        |
| time/                   |             |
|    fps                  | 166         |
|    iterations           | 128         |
|    time_elapsed         | 24          |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.040198624 |
|    clip_fraction        | 0.192       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.541      |
|    explained_variance   | 0.874       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.216       |
|    n_updates            | 2540        |
|    policy_gradient_loss | -0.0337     |
|    value_loss           | 0.793       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.2        |
|    ep_rew_mean          | 52.2        |
| time/                   |             |
|    fps                  | 166         |
|    iterations           | 129         |
|    time_elapsed         | 24          |
|    total_timesteps      | 4128        |
| train/                  |             |
|    approx_kl            | 0.002029268 |
|    clip_fraction        | 0.00937     |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.513      |
|    explained_variance   | 0.456       |
|    learning_rate        | 0.0003      |
|    loss                 | 19.6        |
|    n_updates            | 2560        |
|    policy_gradient_loss | 0.00136     |
|    value_loss           | 50.9        |
-----------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 51.9          |
|    ep_rew_mean          | 51.9          |
| time/                   |               |
|    fps                  | 166           |
|    iterations           | 130           |
|    time_elapsed         | 24            |
|    total_timesteps      | 4160          |
| train/                  |               |
|    approx_kl            | 1.5689991e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -0.508        |
|    explained_variance   | 0.225         |
|    learning_rate        | 0.0003        |
|    loss                 | 66.1          |
|    n_updates            | 2580          |
|    policy_gradient_loss | 0.000183      |
|    value_loss           | 155           |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 51.7          |
|    ep_rew_mean          | 51.7          |
| time/                   |               |
|    fps                  | 166           |
|    iterations           | 131           |
|    time_elapsed         | 25            |
|    total_timesteps      | 4192          |
| train/                  |               |
|    approx_kl            | 9.7996555e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -0.514        |
|    explained_variance   | 0.638         |
|    learning_rate        | 0.0003        |
|    loss                 | 8.33          |
|    n_updates            | 2600          |
|    policy_gradient_loss | -0.00105      |
|    value_loss           | 33.7          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 51.3         |
|    ep_rew_mean          | 51.3         |
| time/                   |              |
|    fps                  | 166          |
|    iterations           | 132          |
|    time_elapsed         | 25           |
|    total_timesteps      | 4224         |
| train/                  |              |
|    approx_kl            | 0.0016046157 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.443       |
|    explained_variance   | 0.698        |
|    learning_rate        | 0.0003       |
|    loss                 | 5.43         |
|    n_updates            | 2620         |
|    policy_gradient_loss | -0.00988     |
|    value_loss           | 26.1         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 51           |
|    ep_rew_mean          | 51           |
| time/                   |              |
|    fps                  | 167          |
|    iterations           | 133          |
|    time_elapsed         | 25           |
|    total_timesteps      | 4256         |
| train/                  |              |
|    approx_kl            | 0.0025642095 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.405       |
|    explained_variance   | 0.561        |
|    learning_rate        | 0.0003       |
|    loss                 | 12           |
|    n_updates            | 2640         |
|    policy_gradient_loss | -0.00521     |
|    value_loss           | 37.3         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50.9         |
|    ep_rew_mean          | 50.9         |
| time/                   |              |
|    fps                  | 167          |
|    iterations           | 134          |
|    time_elapsed         | 25           |
|    total_timesteps      | 4288         |
| train/                  |              |
|    approx_kl            | 0.0008149734 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.447       |
|    explained_variance   | 0.885        |
|    learning_rate        | 0.0003       |
|    loss                 | 3.13         |
|    n_updates            | 2660         |
|    policy_gradient_loss | -0.00278     |
|    value_loss           | 11.8         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50.6        |
|    ep_rew_mean          | 50.6        |
| time/                   |             |
|    fps                  | 167         |
|    iterations           | 135         |
|    time_elapsed         | 25          |
|    total_timesteps      | 4320        |
| train/                  |             |
|    approx_kl            | 0.004021204 |
|    clip_fraction        | 0           |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.437      |
|    explained_variance   | 0.894       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.03        |
|    n_updates            | 2680        |
|    policy_gradient_loss | -0.017      |
|    value_loss           | 11.6        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50.3        |
|    ep_rew_mean          | 50.3        |
| time/                   |             |
|    fps                  | 167         |
|    iterations           | 136         |
|    time_elapsed         | 25          |
|    total_timesteps      | 4352        |
| train/                  |             |
|    approx_kl            | 0.015947621 |
|    clip_fraction        | 0.0656      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.453      |
|    explained_variance   | 0.921       |
|    learning_rate        | 0.0003      |
|    loss                 | 4.02        |
|    n_updates            | 2700        |
|    policy_gradient_loss | -0.0394     |
|    value_loss           | 11.2        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50.1        |
|    ep_rew_mean          | 50.1        |
| time/                   |             |
|    fps                  | 167         |
|    iterations           | 137         |
|    time_elapsed         | 26          |
|    total_timesteps      | 4384        |
| train/                  |             |
|    approx_kl            | 0.017998174 |
|    clip_fraction        | 0.0875      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.412      |
|    explained_variance   | 0.871       |
|    learning_rate        | 0.0003      |
|    loss                 | 5.19        |
|    n_updates            | 2720        |
|    policy_gradient_loss | -0.0402     |
|    value_loss           | 14.3        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 50.1       |
|    ep_rew_mean          | 50.1       |
| time/                   |            |
|    fps                  | 167        |
|    iterations           | 138        |
|    time_elapsed         | 26         |
|    total_timesteps      | 4416       |
| train/                  |            |
|    approx_kl            | 0.01583294 |
|    clip_fraction        | 0.0766     |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.445     |
|    explained_variance   | 0.829      |
|    learning_rate        | 0.0003     |
|    loss                 | 2.75       |
|    n_updates            | 2740       |
|    policy_gradient_loss | -0.0221    |
|    value_loss           | 8.68       |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50.5         |
|    ep_rew_mean          | 50.5         |
| time/                   |              |
|    fps                  | 167          |
|    iterations           | 139          |
|    time_elapsed         | 26           |
|    total_timesteps      | 4448         |
| train/                  |              |
|    approx_kl            | 0.0023695948 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.494       |
|    explained_variance   | 0.97         |
|    learning_rate        | 0.0003       |
|    loss                 | 0.65         |
|    n_updates            | 2760         |
|    policy_gradient_loss | -0.000378    |
|    value_loss           | 2.2          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50.5         |
|    ep_rew_mean          | 50.5         |
| time/                   |              |
|    fps                  | 167          |
|    iterations           | 140          |
|    time_elapsed         | 26           |
|    total_timesteps      | 4480         |
| train/                  |              |
|    approx_kl            | 0.0017337874 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.506       |
|    explained_variance   | 0.581        |
|    learning_rate        | 0.0003       |
|    loss                 | 22.8         |
|    n_updates            | 2780         |
|    policy_gradient_loss | -0.00755     |
|    value_loss           | 97.7         |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 50.5       |
|    ep_rew_mean          | 50.5       |
| time/                   |            |
|    fps                  | 167        |
|    iterations           | 141        |
|    time_elapsed         | 26         |
|    total_timesteps      | 4512       |
| train/                  |            |
|    approx_kl            | 0.05956891 |
|    clip_fraction        | 0.166      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.427     |
|    explained_variance   | 0.202      |
|    learning_rate        | 0.0003     |
|    loss                 | 2.78       |
|    n_updates            | 2800       |
|    policy_gradient_loss | -0.0425    |
|    value_loss           | 6.03       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50.5        |
|    ep_rew_mean          | 50.5        |
| time/                   |             |
|    fps                  | 168         |
|    iterations           | 142         |
|    time_elapsed         | 27          |
|    total_timesteps      | 4544        |
| train/                  |             |
|    approx_kl            | 0.018423354 |
|    clip_fraction        | 0.0734      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.391      |
|    explained_variance   | 0.888       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.404       |
|    n_updates            | 2820        |
|    policy_gradient_loss | -0.0314     |
|    value_loss           | 1.82        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50.5        |
|    ep_rew_mean          | 50.5        |
| time/                   |             |
|    fps                  | 168         |
|    iterations           | 143         |
|    time_elapsed         | 27          |
|    total_timesteps      | 4576        |
| train/                  |             |
|    approx_kl            | 0.021125313 |
|    clip_fraction        | 0.108       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.456      |
|    explained_variance   | -2.84       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.38        |
|    n_updates            | 2840        |
|    policy_gradient_loss | -0.0223     |
|    value_loss           | 4.72        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50.5        |
|    ep_rew_mean          | 50.5        |
| time/                   |             |
|    fps                  | 168         |
|    iterations           | 144         |
|    time_elapsed         | 27          |
|    total_timesteps      | 4608        |
| train/                  |             |
|    approx_kl            | 0.025065606 |
|    clip_fraction        | 0.167       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.472      |
|    explained_variance   | -0.00224    |
|    learning_rate        | 0.0003      |
|    loss                 | 0.393       |
|    n_updates            | 2860        |
|    policy_gradient_loss | -0.0224     |
|    value_loss           | 2.41        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50.5        |
|    ep_rew_mean          | 50.5        |
| time/                   |             |
|    fps                  | 168         |
|    iterations           | 145         |
|    time_elapsed         | 27          |
|    total_timesteps      | 4640        |
| train/                  |             |
|    approx_kl            | 0.052468717 |
|    clip_fraction        | 0.167       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.504      |
|    explained_variance   | -1.2        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.713       |
|    n_updates            | 2880        |
|    policy_gradient_loss | -0.0454     |
|    value_loss           | 4.13        |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 52.2      |
|    ep_rew_mean          | 52.2      |
| time/                   |           |
|    fps                  | 168       |
|    iterations           | 146       |
|    time_elapsed         | 27        |
|    total_timesteps      | 4672      |
| train/                  |           |
|    approx_kl            | 0.1618978 |
|    clip_fraction        | 0.4       |
|    clip_range           | 0.2       |
|    entropy_loss         | -0.414    |
|    explained_variance   | -3.08     |
|    learning_rate        | 0.0003    |
|    loss                 | 0.376     |
|    n_updates            | 2900      |
|    policy_gradient_loss | -0.0522   |
|    value_loss           | 2.05      |
---------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 52.2         |
|    ep_rew_mean          | 52.2         |
| time/                   |              |
|    fps                  | 168          |
|    iterations           | 147          |
|    time_elapsed         | 27           |
|    total_timesteps      | 4704         |
| train/                  |              |
|    approx_kl            | 0.0010523191 |
|    clip_fraction        | 0.0484       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.436       |
|    explained_variance   | 0.663        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.432        |
|    n_updates            | 2920         |
|    policy_gradient_loss | -0.00434     |
|    value_loss           | 2.27         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.2        |
|    ep_rew_mean          | 52.2        |
| time/                   |             |
|    fps                  | 168         |
|    iterations           | 148         |
|    time_elapsed         | 28          |
|    total_timesteps      | 4736        |
| train/                  |             |
|    approx_kl            | 0.036967985 |
|    clip_fraction        | 0.158       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.408      |
|    explained_variance   | -0.923      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.188       |
|    n_updates            | 2940        |
|    policy_gradient_loss | -0.0231     |
|    value_loss           | 0.927       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 52.2         |
|    ep_rew_mean          | 52.2         |
| time/                   |              |
|    fps                  | 168          |
|    iterations           | 149          |
|    time_elapsed         | 28           |
|    total_timesteps      | 4768         |
| train/                  |              |
|    approx_kl            | 0.0055184048 |
|    clip_fraction        | 0.0406       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.42        |
|    explained_variance   | 0.225        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.104        |
|    n_updates            | 2960         |
|    policy_gradient_loss | -0.00323     |
|    value_loss           | 0.553        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 53.1        |
|    ep_rew_mean          | 53.1        |
| time/                   |             |
|    fps                  | 169         |
|    iterations           | 150         |
|    time_elapsed         | 28          |
|    total_timesteps      | 4800        |
| train/                  |             |
|    approx_kl            | 0.016656693 |
|    clip_fraction        | 0.194       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.453      |
|    explained_variance   | 0.832       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0501      |
|    n_updates            | 2980        |
|    policy_gradient_loss | -0.00549    |
|    value_loss           | 0.311       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 53.1        |
|    ep_rew_mean          | 53.1        |
| time/                   |             |
|    fps                  | 169         |
|    iterations           | 151         |
|    time_elapsed         | 28          |
|    total_timesteps      | 4832        |
| train/                  |             |
|    approx_kl            | 0.011450699 |
|    clip_fraction        | 0.075       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.429      |
|    explained_variance   | -0.0207     |
|    learning_rate        | 0.0003      |
|    loss                 | 40.1        |
|    n_updates            | 3000        |
|    policy_gradient_loss | -0.00577    |
|    value_loss           | 98.3        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 53.1         |
|    ep_rew_mean          | 53.1         |
| time/                   |              |
|    fps                  | 169          |
|    iterations           | 152          |
|    time_elapsed         | 28           |
|    total_timesteps      | 4864         |
| train/                  |              |
|    approx_kl            | 0.0022277301 |
|    clip_fraction        | 0.00156      |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.514       |
|    explained_variance   | -1.3         |
|    learning_rate        | 0.0003       |
|    loss                 | 0.275        |
|    n_updates            | 3020         |
|    policy_gradient_loss | -0.0055      |
|    value_loss           | 0.85         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 53.8        |
|    ep_rew_mean          | 53.8        |
| time/                   |             |
|    fps                  | 169         |
|    iterations           | 153         |
|    time_elapsed         | 28          |
|    total_timesteps      | 4896        |
| train/                  |             |
|    approx_kl            | 0.006034417 |
|    clip_fraction        | 0.0203      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.456      |
|    explained_variance   | 0.543       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0668      |
|    n_updates            | 3040        |
|    policy_gradient_loss | -0.00539    |
|    value_loss           | 0.391       |
-----------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 53.8          |
|    ep_rew_mean          | 53.8          |
| time/                   |               |
|    fps                  | 169           |
|    iterations           | 154           |
|    time_elapsed         | 29            |
|    total_timesteps      | 4928          |
| train/                  |               |
|    approx_kl            | 0.00040835794 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -0.516        |
|    explained_variance   | 0.413         |
|    learning_rate        | 0.0003        |
|    loss                 | 15.6          |
|    n_updates            | 3060          |
|    policy_gradient_loss | -0.0018       |
|    value_loss           | 60.2          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 53.8         |
|    ep_rew_mean          | 53.8         |
| time/                   |              |
|    fps                  | 169          |
|    iterations           | 155          |
|    time_elapsed         | 29           |
|    total_timesteps      | 4960         |
| train/                  |              |
|    approx_kl            | 0.0045880293 |
|    clip_fraction        | 0.0328       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.5         |
|    explained_variance   | -0.534       |
|    learning_rate        | 0.0003       |
|    loss                 | 0.234        |
|    n_updates            | 3080         |
|    policy_gradient_loss | -0.0171      |
|    value_loss           | 0.876        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 53.8         |
|    ep_rew_mean          | 53.8         |
| time/                   |              |
|    fps                  | 169          |
|    iterations           | 156          |
|    time_elapsed         | 29           |
|    total_timesteps      | 4992         |
| train/                  |              |
|    approx_kl            | 0.0031019123 |
|    clip_fraction        | 0.0219       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.515       |
|    explained_variance   | 0.785        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0433       |
|    n_updates            | 3100         |
|    policy_gradient_loss | -0.000968    |
|    value_loss           | 0.232        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 54.3         |
|    ep_rew_mean          | 54.3         |
| time/                   |              |
|    fps                  | 169          |
|    iterations           | 157          |
|    time_elapsed         | 29           |
|    total_timesteps      | 5024         |
| train/                  |              |
|    approx_kl            | 0.0045580305 |
|    clip_fraction        | 0.0484       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.525       |
|    explained_variance   | 0.995        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.22         |
|    n_updates            | 3120         |
|    policy_gradient_loss | -0.00858     |
|    value_loss           | 2.59         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 54.3        |
|    ep_rew_mean          | 54.3        |
| time/                   |             |
|    fps                  | 169         |
|    iterations           | 158         |
|    time_elapsed         | 29          |
|    total_timesteps      | 5056        |
| train/                  |             |
|    approx_kl            | 0.006979769 |
|    clip_fraction        | 0.0266      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.429      |
|    explained_variance   | 0.998       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.514       |
|    n_updates            | 3140        |
|    policy_gradient_loss | -0.00733    |
|    value_loss           | 1.38        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 54.3        |
|    ep_rew_mean          | 54.3        |
| time/                   |             |
|    fps                  | 169         |
|    iterations           | 159         |
|    time_elapsed         | 29          |
|    total_timesteps      | 5088        |
| train/                  |             |
|    approx_kl            | 0.012410565 |
|    clip_fraction        | 0.0859      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.544      |
|    explained_variance   | 0.472       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0447      |
|    n_updates            | 3160        |
|    policy_gradient_loss | -0.00547    |
|    value_loss           | 0.28        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 54.8       |
|    ep_rew_mean          | 54.8       |
| time/                   |            |
|    fps                  | 170        |
|    iterations           | 160        |
|    time_elapsed         | 30         |
|    total_timesteps      | 5120       |
| train/                  |            |
|    approx_kl            | 0.03160097 |
|    clip_fraction        | 0.202      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.526     |
|    explained_variance   | 0.968      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0918     |
|    n_updates            | 3180       |
|    policy_gradient_loss | -0.00173   |
|    value_loss           | 0.55       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 54.8        |
|    ep_rew_mean          | 54.8        |
| time/                   |             |
|    fps                  | 170         |
|    iterations           | 161         |
|    time_elapsed         | 30          |
|    total_timesteps      | 5152        |
| train/                  |             |
|    approx_kl            | 0.025592253 |
|    clip_fraction        | 0.194       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.553      |
|    explained_variance   | 0.862       |
|    learning_rate        | 0.0003      |
|    loss                 | 4.72        |
|    n_updates            | 3200        |
|    policy_gradient_loss | 0.0695      |
|    value_loss           | 21.3        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 54.8        |
|    ep_rew_mean          | 54.8        |
| time/                   |             |
|    fps                  | 170         |
|    iterations           | 162         |
|    time_elapsed         | 30          |
|    total_timesteps      | 5184        |
| train/                  |             |
|    approx_kl            | 0.078409925 |
|    clip_fraction        | 0.305       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.451      |
|    explained_variance   | -0.105      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0573      |
|    n_updates            | 3220        |
|    policy_gradient_loss | -0.0412     |
|    value_loss           | 0.402       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 55.5        |
|    ep_rew_mean          | 55.5        |
| time/                   |             |
|    fps                  | 170         |
|    iterations           | 163         |
|    time_elapsed         | 30          |
|    total_timesteps      | 5216        |
| train/                  |             |
|    approx_kl            | 0.016998515 |
|    clip_fraction        | 0.489       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.503      |
|    explained_variance   | 0.949       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0257     |
|    n_updates            | 3240        |
|    policy_gradient_loss | -0.0595     |
|    value_loss           | 0.112       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 55.5         |
|    ep_rew_mean          | 55.5         |
| time/                   |              |
|    fps                  | 170          |
|    iterations           | 164          |
|    time_elapsed         | 30           |
|    total_timesteps      | 5248         |
| train/                  |              |
|    approx_kl            | 0.0033658864 |
|    clip_fraction        | 0.0547       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.514       |
|    explained_variance   | 0.791        |
|    learning_rate        | 0.0003       |
|    loss                 | 8.83         |
|    n_updates            | 3260         |
|    policy_gradient_loss | 0.0189       |
|    value_loss           | 22.5         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 55.5         |
|    ep_rew_mean          | 55.5         |
| time/                   |              |
|    fps                  | 170          |
|    iterations           | 165          |
|    time_elapsed         | 30           |
|    total_timesteps      | 5280         |
| train/                  |              |
|    approx_kl            | 0.0051822755 |
|    clip_fraction        | 0.00469      |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.488       |
|    explained_variance   | 0.145        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.104        |
|    n_updates            | 3280         |
|    policy_gradient_loss | -0.00517     |
|    value_loss           | 0.553        |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 55.5          |
|    ep_rew_mean          | 55.5          |
| time/                   |               |
|    fps                  | 170           |
|    iterations           | 166           |
|    time_elapsed         | 31            |
|    total_timesteps      | 5312          |
| train/                  |               |
|    approx_kl            | 0.00049447175 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -0.461        |
|    explained_variance   | -0.0178       |
|    learning_rate        | 0.0003        |
|    loss                 | 68.5          |
|    n_updates            | 3300          |
|    policy_gradient_loss | 0.0121        |
|    value_loss           | 138           |
-------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 55.5        |
|    ep_rew_mean          | 55.5        |
| time/                   |             |
|    fps                  | 170         |
|    iterations           | 167         |
|    time_elapsed         | 31          |
|    total_timesteps      | 5344        |
| train/                  |             |
|    approx_kl            | 0.022687769 |
|    clip_fraction        | 0.0969      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.489      |
|    explained_variance   | -1.62       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.124       |
|    n_updates            | 3320        |
|    policy_gradient_loss | -0.0197     |
|    value_loss           | 0.503       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 55.3         |
|    ep_rew_mean          | 55.3         |
| time/                   |              |
|    fps                  | 171          |
|    iterations           | 168          |
|    time_elapsed         | 31           |
|    total_timesteps      | 5376         |
| train/                  |              |
|    approx_kl            | 0.0008101342 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.433       |
